Component,Average Percent Change
Fuel oil,0.04600283252697956
Tobacco (127),0.04511549066599019
Motor vehicle rental,0.058844897478646185
Commercial banks,0.0835630871215899
Pension funds,0.04930434373779212
Over-the-counter equity securities,0.09434245195285831
Portfolio management and investment advice services,0.07466890468723471
"Moving, storage, and freight services",0.04731137365959089
"Repair of furniture, furnishings, and floor coverings",0.04518695365455297
Repair of household appliances,0.045186928113800665
