Component,Average Percent Change
Film and photographic supplies,0.003848488104838966
Tobacco (127),0.003749054967550722
Newspapers and periodicals,0.004046783691334008
Motor vehicle rental,0.003963475758546117
Commercial banks,0.006311997094158979
Over-the-counter equity securities,0.007464968409877279
Other imputed commissions,0.004498826838030026
Mutual fund sales charges,0.006573508016937785
Portfolio management and investment advice services,0.004744838916926915
"Moving, storage, and freight services",0.004181977953717728
