component,num_occurrances
Commercial banks,73
Portfolio management and investment advice services,60
Mutual fund sales charges,56
Over-the-counter equity securities,53
Eggs,44
Gasoline and other motor fuel,43
Fuel oil,42
Food produced and consumed on farms (6),40
Other fuels,37
Film and photographic supplies,36
Natural gas (28),31
Other depository institutions and regulated investment companies,31
"Moving, storage, and freight services",27
Newspapers and periodicals,27
Other imputed commissions,26
Beef and veal,25
Motor vehicle rental,24
Pension funds,24
"Trust, fiduciary, and custody activities",23
Spectator sports,20
Used autos,20
Educational books (96),19
Used light trucks,19
Major household appliances,18
Hotels and motels,15
Financial service charges and fees,14
Motorcycles,14
Pork,14
"Repair of furniture, furnishings, and floor coverings",14
Repair of household appliances,13
Tax preparation and other related services,13
Water supply and sewage maintenance,13
Air transportation (64),12
"Land-line telephone services, long-distance charges",12
Rental value of farm dwellings (22),12
Watches,11
Elementary and secondary school lunches,10
Clothing materials,9
Employment agency services,9
Food supplied to civilians,9
Higher education school lunches,9
Net motor vehicle and other transportation insurance (116),9
Poultry,9
Sewing items,9
Vegetables (fresh),9
Food supplied to military,8
Jewelry,8
Exchange-listed equities,7
Household paper products,7
Prescription drugs,7
Stationery and miscellaneous printed materials,7
Tobacco (127),7
"Land-line telephone services, local charges",6
Motor vehicle leasing,6
Other meats,6
Photographic equipment,6
Postal and delivery services (68),6
Dishes and flatware,5
Parking fees and tolls,5
Residential mental health and substance abuse,5
Children's and infants' clothing (12),4
Fats and oils,4
Fish and seafood,4
Fresh milk,4
"Other social assistance, not elsewere classified",4
Window coverings,4
Fruit (fresh),3
Luggage and similar personal items (part of 119),3
Pleasure aircraft,3
Pleasure boats,3
Professional association dues,3
"Audio discs, tapes, vinyl, and permanent digital downloads",2
Bicycles and accessories,2
"Flowers, seeds, and potted plants",2
Foundations and grantmaking and giving services to households,2
Garbage and trash collection,2
Intercity buses,2
Legal services,2
Other recreational vehicles,2
Other road transportation service,2
Railway transportation,2
Carpets and other floor coverings,1
Lubricants and fluids,1
"Mineral waters, soft drinks, and vegetable juices",1
Miscellaneous personal care services,1
Other household services,1
Processed dairy products,1
"Video discs, tapes, and permanent digital downloads",1
Water transportation (65),1
