Component,Average Percent Change
Fuel oil,0.05038565412978843
Motor vehicle rental,0.05824611687990815
Commercial banks,0.0831059638687632
Pension funds,0.04857785643944637
Over-the-counter equity securities,0.09024751165980978
Mutual fund sales charges,0.04719854906301963
Portfolio management and investment advice services,0.07318368943896683
"Moving, storage, and freight services",0.047101912505842565
"Repair of furniture, furnishings, and floor coverings",0.04552576245180318
Repair of household appliances,0.04552575966602221
