Component,Average Percent Change
Film and photographic supplies,0.003819552104050703
Newspapers and periodicals,0.003839126151559585
Motor vehicle rental,0.004123757974241574
Commercial banks,0.006274210797098968
Over-the-counter equity securities,0.007151653936405445
Other imputed commissions,0.00406622845690751
Mutual fund sales charges,0.006515105323439451
Portfolio management and investment advice services,0.004878830173309213
"Moving, storage, and freight services",0.0039825213395526995
"Repair of furniture, furnishings, and floor coverings",0.003748118976689985
