component,num_occurrances
Final consumption expenditures of nonprofit institutions serving households (NPISHs) (132),122
Nonprofit hospitals' services to households,122
Other purchased meals,122
Owner-occupied stationary homes,122
Physician services (44),122
Prescription drugs,122
Tenant-occupied stationary homes and landlord durables,122
Gasoline and other motor fuel,113
New light trucks,62
Other professional medical services,51
Net health insurance (112),49
Government hospitals,41
Portfolio management and investment advice services,36
Electricity (27),13
Women's and girls' clothing (10),1
